item_a_id,item_a_desc,item_a_bucket,item_a_tematico,item_b_id,item_b_desc,item_b_bucket,item_b_tematico,canastas_con_ambos,canastas_con_a,canastas_con_b,support_par,confianza_a_b,confianza_b_a,lift
980025309,8 130G MAZATUN ACEIT,ABARROTES,False,980032203,VERO MIX DULCE,IMPULSO,True,23,412,3289,0.00012,0.0558,0.007,3.259
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980032456,1 KG OAXACA ORGANICO,PERECEDEROS,False,13,5021,234,6.8e-05,0.0026,0.0556,2.125
000155139,MM MINIMUERTO 15 PZA,FRESH,True,000263093,40R 180H SOFT COTTON,SALUD Y BIENESTAR,False,279,5021,12011,0.001453,0.0556,0.0232,0.888
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980015520,1.2K ZUCARITAS,ABARROTES,False,278,5021,8237,0.001448,0.0554,0.0338,1.291
000046531,MM 1K PAN DE MUERTO,FRESH,True,000634209,1730G MAYONESA C LIM,ABARROTES,False,149,2701,6119,0.000776,0.0552,0.0244,1.731
000186909,MM 1KG PAN MUERTO,FRESH,True,981000289,MM 12/1L LECHE ENTE,ABARROTES,False,126,2293,11064,0.000656,0.0549,0.0114,0.954
980032203,VERO MIX DULCE,IMPULSO,True,981038338,20PZ VELA LIMONERO,SALUD Y BIENESTAR,False,20,3289,366,0.000104,0.0061,0.0546,3.191
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980030262,DELIGHT PUMPKIN,PERECEDEROS,False,68,5021,1254,0.000354,0.0135,0.0542,2.074
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980025605,MM MINI PALETAS 12 P,PERECEDEROS,False,17,5021,314,8.9e-05,0.0034,0.0541,2.071
000087548,90 KBB SUAV MAX JBO,SALUD Y BIENESTAR,False,980032203,VERO MIX DULCE,IMPULSO,True,42,777,3289,0.000219,0.0541,0.0128,3.156
000155139,MM MINIMUERTO 15 PZA,FRESH,True,981007763,SANDWICH HELADO,PERECEDEROS,False,37,5021,686,0.000193,0.0074,0.0539,2.063
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980032476,MM FILETES TILAPIA,PERECEDEROS,False,12,5021,224,6.2e-05,0.0024,0.0536,2.049
000034555,6 220G JALAPENOS,ABARROTES,False,980032203,VERO MIX DULCE,IMPULSO,True,16,299,3289,8.3e-05,0.0535,0.0049,3.124
000034289,2.8L AXION LIMON,SALUD Y BIENESTAR,False,000046531,MM 1K PAN DE MUERTO,FRESH,True,144,11961,2701,0.00075,0.012,0.0533,0.856
000186909,MM 1KG PAN MUERTO,FRESH,True,980006032,MM 2.9L LAVATRASTES,SALUD Y BIENESTAR,False,122,2293,13328,0.000635,0.0532,0.0092,0.767
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980006080,MM MINI PIZZAS 72 PZ,PERECEDEROS,False,36,5021,677,0.000187,0.0072,0.0532,2.034
000034558,10/105G RAJAS VERDES,ABARROTES,False,980032203,VERO MIX DULCE,IMPULSO,True,26,490,3289,0.000135,0.0531,0.0079,3.098
000033145,900 GR CREMA ACIDA,PERECEDEROS,False,000155139,MM MINIMUERTO 15 PZA,FRESH,True,266,7545,5021,0.001385,0.0353,0.053,1.348
000046531,MM 1K PAN DE MUERTO,FRESH,True,000275176,2/1.13 KG HEINZ KETC,ABARROTES,False,143,2701,7272,0.000745,0.0529,0.0197,1.398
000075063,4/150M TRIPLE ACCION,SALUD Y BIENESTAR,False,981028844,SKWINKLES DULCES,IMPULSO,True,37,9409,702,0.000193,0.0039,0.0527,1.076
000155139,MM MINIMUERTO 15 PZA,FRESH,True,981007488,900G LECHERA,ABARROTES,False,263,5021,5796,0.00137,0.0524,0.0454,1.735
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980040808,500GR CHORIZO CHIMEX,PERECEDEROS,False,16,5021,306,8.3e-05,0.0032,0.0523,2.0
000186909,MM 1KG PAN MUERTO,FRESH,True,980016043,MM 18/1LT AGUA PURIF,PERECEDEROS,False,119,2293,6203,0.00062,0.0519,0.0192,1.607
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980000137,25/80ML YAKULT,PERECEDEROS,False,16,5021,308,8.3e-05,0.0032,0.0519,1.987
980016462,12 1 LT GATORADE SAB,ABARROTES,False,980032203,VERO MIX DULCE,IMPULSO,True,75,1448,3289,0.000391,0.0518,0.0228,3.024
980032203,VERO MIX DULCE,IMPULSO,True,980032755,6/228G MAYONESA CON,ABARROTES,False,57,3289,1110,0.000297,0.0173,0.0514,2.998
000254784,30 PZ HUEVO BLANCO,PERECEDEROS,False,980032203,VERO MIX DULCE,IMPULSO,True,169,16326,3289,0.00088,0.0104,0.0514,0.604
980014852,6 350 ML SALSA PICAN,ABARROTES,False,981028844,SKWINKLES DULCES,IMPULSO,True,36,2576,702,0.000187,0.014,0.0513,3.823
000155139,MM MINIMUERTO 15 PZA,FRESH,True,981024049,90 HUG SUPREME E1,SALUD Y BIENESTAR,False,14,5021,274,7.3e-05,0.0028,0.0511,1.954
000046531,MM 1K PAN DE MUERTO,FRESH,True,980016043,MM 18/1LT AGUA PURIF,PERECEDEROS,False,138,2701,6203,0.000719,0.0511,0.0222,1.582
980007307,SAL DE UVAS PICOT 6,SALUD Y BIENESTAR,False,980032203,VERO MIX DULCE,IMPULSO,True,13,255,3289,6.8e-05,0.051,0.004,2.977
980032203,VERO MIX DULCE,IMPULSO,True,981020933,24/200ML HERSHEYS,ABARROTES,False,22,3289,433,0.000115,0.0067,0.0508,2.967
980014852,6 350 ML SALSA PICAN,ABARROTES,False,980032203,VERO MIX DULCE,IMPULSO,True,130,2576,3289,0.000677,0.0505,0.0395,2.947
000872533,6/210GR SALSA CASERA,ABARROTES,False,980032203,VERO MIX DULCE,IMPULSO,True,35,694,3289,0.000182,0.0504,0.0106,2.945
000186909,MM 1KG PAN MUERTO,FRESH,True,980038901,MM VINAGRE BLANCO 6L,ABARROTES,False,115,2293,11032,0.000599,0.0502,0.0104,0.873
